last_energy,proposed_energy
-223336.1183724909,-223335.6162295513
-223336.1183724909,-223335.8736073983
-223336.1183724909,-223336.1138711274
-223336.1138711274,-223335.6548513893
-223336.1138711274,-223335.7222946393
-223336.1138711274,-223336.1357239999
-223336.1357239999,-223335.7961881500
-223336.1357239999,-223335.5733055843
-223336.1357239999,-223335.7519052437
-223336.1357239999,-223335.7312018869
-223336.1357239999,-223336.0144832625
-223336.1357239999,-223335.6248265531
-223336.1357239999,-223336.4654742613
-223336.4654742613,-223336.0037848632
-223336.4654742613,-223336.4449871475
-223336.4654742613,-223336.3276640917
-223336.4654742613,-223335.6499311085
-223336.4654742613,-223336.2789554688
-223336.4654742613,-223336.2161651155
-223336.4654742613,-223336.4993725022
-223336.4993725022,-223336.8423345030
-223336.8423345030,-223336.5897270712
-223336.8423345030,-223336.5550940831
-223336.8423345030,-223336.6900774980
-223336.8423345030,-223336.3091426355
-223336.8423345030,-223336.9585913225
-223336.9585913225,-223336.6180607352
-223336.9585913225,-223337.2210344073
-223337.2210344073,-223336.6658050054
-223337.2210344073,-223336.5561008704
-223337.2210344073,-223336.7930937315
-223337.2210344073,-223336.6592741096
-223337.2210344073,-223336.7023118795
-223337.2210344073,-223336.8065625013
-223337.2210344073,-223337.2561489053
-223337.2561489053,-223336.7763809637
-223337.2561489053,-223336.8320358229
-223337.2561489053,-223336.5453616125
-223337.2561489053,-223337.1692446996
-223337.2561489053,-223336.6272903473
-223337.2561489053,-223337.2942143004
-223337.2942143004,-223337.0895076267
-223337.2942143004,-223337.6009810664
-223337.6009810664,-223337.4650709451
-223337.6009810664,-223337.8261989399
-223337.8261989399,-223337.1832900348
-223337.8261989399,-223337.3850267091
-223337.8261989399,-223337.4181372541
-223337.8261989399,-223337.9993208516
-223337.9993208516,-223337.9152556381
-223337.9993208516,-223337.5675840589
-223337.9993208516,-223337.5995384702
-223337.9993208516,-223338.0610592689
-223338.0610592689,-223337.3974913093
-223338.0610592689,-223338.2548131988
-223338.2548131988,-223338.4749888191
-223338.4749888191,-223337.8904635709
-223338.4749888191,-223338.0170338730
-223338.4749888191,-223337.8709253978
-223338.4749888191,-223337.9749912632
-223338.4749888191,-223338.7119887517
-223338.7119887517,-223337.8441395213
-223338.7119887517,-223338.2196395936
-223338.7119887517,-223338.4728482976
-223338.7119887517,-223338.0246762471
-223338.7119887517,-223338.1139781940
-223338.7119887517,-223338.4181485700
-223338.7119887517,-223338.2827113878
-223338.7119887517,-223338.3040555061
-223338.7119887517,-223337.6973441942
-223338.7119887517,-223338.3427396673
-223338.7119887517,-223338.3909222105
-223338.7119887517,-223337.7206712166
-223338.7119887517,-223338.1343088814
-223338.7119887517,-223338.1989083797
-223338.7119887517,-223338.3593672882
-223338.7119887517,-223338.6444478357
-223338.7119887517,-223338.0766433645
-223338.7119887517,-223338.7802861159
-223338.7802861159,-223338.6651478046
-223338.7802861159,-223338.3087904290
-223338.7802861159,-223338.6509198798
-223338.7802861159,-223338.6198675695
-223338.7802861159,-223337.8083060893
-223338.7802861159,-223338.5343162893
-223338.7802861159,-223338.3991972103
-223338.7802861159,-223338.3120402213
-223338.7802861159,-223338.6798441663
-223338.7802861159,-223338.6643539038
-223338.7802861159,-223338.4272237035
-223338.7802861159,-223338.5142281266
-223338.7802861159,-223338.4777199898
-223338.7802861159,-223338.6947362356
-223338.7802861159,-223338.2912177345
-223338.7802861159,-223338.7860506486
-223338.7860506486,-223338.5446430097
-223338.7860506486,-223338.3780213004
-223338.7860506486,-223338.7922052598
-223338.7922052598,-223338.6270097928
-223338.7922052598,-223338.2933291823
-223338.7922052598,-223338.4679995367
-223338.7922052598,-223338.6340753748
-223338.6340753748,-223338.4899744736
-223338.6340753748,-223338.3676144187
-223338.6340753748,-223337.9349023909
-223338.6340753748,-223338.1139893701
-223338.6340753748,-223338.1978549606
-223338.6340753748,-223338.0585056723
-223338.6340753748,-223338.2503786620
-223338.6340753748,-223338.4187779565
-223338.6340753748,-223338.0127755144
-223338.6340753748,-223338.0911098899
-223338.6340753748,-223338.6352801803
-223338.6352801803,-223338.7053702158
-223338.7053702158,-223338.1603884716
-223338.7053702158,-223338.1751079507
-223338.7053702158,-223338.6439901494
-223338.7053702158,-223338.3701169338
-223338.7053702158,-223338.3810510727
-223338.7053702158,-223338.4426475079
-223338.7053702158,-223338.4707449835
-223338.7053702158,-223337.8921807060
-223338.7053702158,-223338.5030294876
-223338.7053702158,-223338.8349456508
-223338.8349456508,-223338.7255431836
-223338.8349456508,-223338.5761038340
-223338.8349456508,-223338.6848169059
-223338.8349456508,-223338.3575475824
-223338.8349456508,-223339.1689294406
-223339.1689294406,-223338.6711219287
-223339.1689294406,-223338.8254476055
-223339.1689294406,-223338.8529255691
-223339.1689294406,-223339.0734420085
-223339.1689294406,-223338.6886758197
-223339.1689294406,-223338.9199314241
-223339.1689294406,-223339.0481196002
-223339.0481196002,-223338.9809437248
-223339.0481196002,-223338.5482007312
-223339.0481196002,-223338.5600121337
-223339.0481196002,-223338.4559312406
-223339.0481196002,-223339.0370646083
-223339.0370646083,-223338.4293342759
-223339.0370646083,-223338.6765555937
-223339.0370646083,-223338.6076342644
-223339.0370646083,-223338.8468921792
-223339.0370646083,-223338.9966282690
-223339.0370646083,-223338.4408643627
-223339.0370646083,-223338.2036630552
-223339.0370646083,-223338.7015563131
-223339.0370646083,-223338.6305149687
-223339.0370646083,-223337.9948744600
-223339.0370646083,-223338.8720931548
-223339.0370646083,-223339.2893389004
-223339.2893389004,-223338.7895612649
-223339.2893389004,-223338.5561266080
-223339.2893389004,-223338.8041909545
-223339.2893389004,-223338.7874108531
-223339.2893389004,-223339.0280613673
-223339.2893389004,-223338.5382265694
-223339.2893389004,-223339.6211430090
-223339.6211430090,-223339.1541099289
-223339.6211430090,-223338.8304827900
-223339.6211430090,-223339.6131028153
-223339.6131028153,-223339.2716453944
-223339.6131028153,-223338.9326909148
-223339.6131028153,-223339.3039966240
-223339.6131028153,-223339.6343631437
-223339.6343631437,-223338.9037036334
-223339.6343631437,-223339.6671724545
-223339.6671724545,-223339.1513823477
-223339.6671724545,-223339.3439003220
-223339.6671724545,-223339.3943596769
-223339.6671724545,-223339.5201058188
-223339.6671724545,-223339.5906204356
-223339.6671724545,-223339.8841472426
-223339.8841472426,-223339.5501125500
-223339.8841472426,-223339.3650872328
-223339.8841472426,-223339.3284580487
-223339.8841472426,-223339.1769945013
-223339.8841472426,-223339.7110777411
-223339.8841472426,-223339.5679699495
-223339.8841472426,-223339.2552452656
-223339.8841472426,-223339.0259587129
-223339.8841472426,-223339.5060128998
-223339.8841472426,-223339.3395755778
-223339.8841472426,-223339.2115521323
-223339.8841472426,-223339.1352625018
-223339.8841472426,-223339.3309576352
-223339.8841472426,-223339.6002106353
-223339.8841472426,-223339.6814322396
-223339.8841472426,-223339.0800331061
-223339.8841472426,-223339.4988306792
-223339.8841472426,-223339.8384683626
-223339.8841472426,-223340.0313857629
-223340.0313857629,-223339.8467032359
-223340.0313857629,-223339.6335333064
-223340.0313857629,-223340.1788774285
-223340.1788774285,-223339.5655280398
-223340.1788774285,-223339.9693802126
-223340.1788774285,-223339.6145907087
-223340.1788774285,-223339.4995409488
-223340.1788774285,-223339.4995724267
-223340.1788774285,-223340.4400281078
-223340.4400281078,-223340.0377186958
-223340.4400281078,-223340.2830284549
-223340.4400281078,-223340.3716871965
-223340.4400281078,-223339.6522048608
-223340.4400281078,-223340.3053126138
-223340.4400281078,-223339.9801201266
-223340.4400281078,-223340.2540945750
-223340.4400281078,-223340.1270865862
-223340.4400281078,-223339.7697383360
-223340.4400281078,-223340.0976564424
-223340.4400281078,-223339.6582826282
-223340.4400281078,-223340.0908069137
-223340.4400281078,-223340.1488813091
-223340.4400281078,-223340.4544229351
-223340.4544229351,-223340.2068862844
-223340.4544229351,-223340.1694026214
-223340.4544229351,-223340.1140927859
-223340.4544229351,-223340.1269414686
-223340.4544229351,-223340.4802485715
-223340.4802485715,-223339.9003669027
-223340.4802485715,-223339.9973091262
-223340.4802485715,-223339.8707018642
