last_energy,proposed_energy
-27907.931842474034,-27908.280878440655
-27908.280878440655,-27908.25432170406
-27908.25432170406,-27907.998954385414
-27908.25432170406,-27908.184756222203
-27908.184756222203,-27908.37035489694
-27908.37035489694,-27908.51475942495
-27908.51475942495,-27908.815611530114
-27908.815611530114,-27908.53329083705
-27908.815611530114,-27909.31596051528
-27909.31596051528,-27909.660809876852
-27909.660809876852,-27909.76065606501
-27909.76065606501,-27909.534042278705
-27909.76065606501,-27909.31486643024
-27909.76065606501,-27909.69092593636
-27909.76065606501,-27909.845975494194
-27909.845975494194,-27909.916844569194
-27909.916844569194,-27909.61267225437
-27909.916844569194,-27910.001241077363
-27910.001241077363,-27909.686098421822
-27910.001241077363,-27910.13153566146
-27910.13153566146,-27910.00221065391
-27910.13153566146,-27909.49179699412
-27910.13153566146,-27910.322479198843
-27910.322479198843,-27910.425459010126
-27910.425459010126,-27910.483178589748
-27910.483178589748,-27910.288613750523
-27910.483178589748,-27910.257809625597
-27910.483178589748,-27910.674294083798
-27910.674294083798,-27910.79363547281
-27910.79363547281,-27910.980539127853
-27910.980539127853,-27910.82272876347
-27910.980539127853,-27910.672271299984
-27910.980539127853,-27911.199299502863
-27911.199299502863,-27911.087422356697
-27911.199299502863,-27911.334836426824
-27911.334836426824,-27911.157798402463
-27911.334836426824,-27911.178414969734
-27911.334836426824,-27911.311104245135
-27911.311104245135,-27911.147364404424
-27911.311104245135,-27911.323178958875
-27911.323178958875,-27911.153847486785
-27911.323178958875,-27911.073087037832
-27911.323178958875,-27910.702090512666
-27911.323178958875,-27911.352001684856
-27911.352001684856,-27911.549422933356
-27911.549422933356,-27911.148293048176
-27911.549422933356,-27911.25800521669
-27911.549422933356,-27911.45410205416
-27911.549422933356,-27911.216608382696
-27911.549422933356,-27911.270653621108
-27911.549422933356,-27911.34064293594
-27911.549422933356,-27911.74763594059
-27911.74763594059,-27911.40668516737
-27911.74763594059,-27911.34477373842
-27911.74763594059,-27911.628893337453
-27911.74763594059,-27911.621227488045
-27911.74763594059,-27911.68377217502
-27911.68377217502,-27911.82329161751
-27911.82329161751,-27911.97448250003
-27911.97448250003,-27912.333346320414
-27912.333346320414,-27912.29624854495
-27912.29624854495,-27912.124298005885
-27912.29624854495,-27912.35718403692
-27912.35718403692,-27912.516751342453
-27912.516751342453,-27912.049941674395
-27912.516751342453,-27912.364010393398
-27912.364010393398,-27912.19344814176
-27912.364010393398,-27911.838357894638
-27912.364010393398,-27912.385121789957
-27912.385121789957,-27912.44759121409
-27912.44759121409,-27912.05585853089
-27912.44759121409,-27912.272557922806
-27912.44759121409,-27912.654941179746
-27912.654941179746,-27912.1382775753
-27912.654941179746,-27912.616103212466
-27912.654941179746,-27912.57860690723
-27912.57860690723,-27912.720444091898
-27912.720444091898,-27912.511095205555
-27912.720444091898,-27912.601683600442
-27912.720444091898,-27912.737032894587
-27912.737032894587,-27912.691410199364
-27912.737032894587,-27912.406324448966
-27912.737032894587,-27912.7467329241
-27912.7467329241,-27912.7467329241
-27912.7467329241,-27912.685428031724
-27912.7467329241,-27912.4876852836
-27912.7467329241,-27912.919053537542
-27912.919053537542,-27913.01922728209
