iter,delta_E_meV_per_atom
0,0.0
1,-0.32318145057433867
2,-0.29859187965121237
5,-0.2341793964515091
8,-0.40603002120769816
9,-0.5397379175155947
12,-0.8183046815538546
17,-1.2815907789299672
18,-1.6008957433477917
21,-1.6933459175670578
29,-1.7723453890357632
30,-1.8379649029266147
34,-1.9161098178956308
41,-2.0367529513205227
47,-2.2135525229714403
49,-2.3089042000865447
50,-2.3623482552866335
53,-2.5393070460741
55,-2.6498083322003367
56,-2.822867272054282
60,-3.025423174840398
63,-3.150920326654159
72,-3.1289460843509005
75,-3.140126374848478
90,-3.1668140840920387
91,-3.349611536406883
101,-3.5331420986585726
116,-3.4740089823935705
122,-3.6031936513682012
123,-3.7431852092558984
126,-4.075466524423973
127,-4.041116732329101
132,-4.0975384841513005
133,-4.245285989276454
136,-4.1038591845936025
140,-4.123406774000614
143,-4.181248833385325
150,-4.373239542324882
153,-4.3025596603656595
155,-4.433890386910207
165,-4.449250389399822
175,-4.458231898206577
179,-4.458231898206577
183,-4.617788021761953
185,-4.7105414889374515
208,-4.783162365492899
217,-4.803846723458264
221,-4.7821404327769415
223,-4.81409391649504
249,-4.759092534284719
266,-4.867975730150647
272,-4.805789518191887
273,-4.852376158840343
283,-4.9132872400732595
289,-5.16701255434964
298,-5.193162262206897
303,-5.147080754275521
308,-5.114084869070211
319,-5.0613666696008295
327,-5.142411335295037
329,-5.112268793331168
331,-5.040036461919954
332,-5.041731238714419
343,-5.172146795815934
345,-5.329637824335805
350,-5.2522704195653205
352,-5.233904441975028
353,-5.271269467968523
369,-5.622188373501558
373,-5.749125855159946
402,-5.67037163025816
414,-5.625965650178841
416,-5.631575940842595
423,-5.788370595248125
432,-5.809956297998724
447,-5.889638112104876
454,-5.930056532051822
496,-5.890107269380678
504,-6.116451417285134
517,-6.063272181465436
528,-6.279826359637809
539,-6.424921149609872
582,-6.430121923916886
583,-6.451171199169039
612,-6.272168987139594
615,-6.359950115402171
665,-6.402238787584793
674,-6.402643569428619
701,-6.454750831173442
716,-6.43913867135052
717,-6.512210575685458
728,-6.488356002912042
809,-6.466107009990083
816,-6.500374638431822
824,-6.647322335062199
845,-6.608038519731053
858,-6.638233506982942
891,-6.528792248729587
920,-6.686720647263428
952,-6.6458174299041275
963,-6.712643061066046
971,-6.8080345342059445
988,-6.697054427833791
997,-6.635623106860294
1018,-6.764505260587612
1030,-6.729553391243826
1053,-7.062666889130924
1114,-7.040505589768145
1123,-7.197023182023258
1129,-7.254332300839451
1131,-7.254332300839451
1192,-7.369022287726693
1221,-7.377371028647758
1275,-7.437107816353091
1304,-7.4196747276619135
1365,-7.5739528101512406
1414,-7.702932057723956
1428,-7.883445536186628
1435,-7.9171071128948824
1474,-7.86536570370663
1476,-7.689095273006387
1482,-7.559376883076766
1518,-7.648082027764758
1545,-7.674571542014746
1552,-7.78721732804479
1559,-7.634531610849081
1583,-7.766234912807704
1667,-7.817216412520793
1675,-7.841256771258486
1699,-8.16713580137366
1709,-8.228609646270343
1728,-8.18147290453635
1732,-8.30762288457845
1746,-8.42913744937323
1747,-8.42913744937323
1858,-8.4548577597634
1885,-8.542579880093399
1896,-8.55544117318641
1914,-8.509432588969503
1928,-8.521281521982019
1935,-8.44418737291926
1956,-8.525319439588202
1959,-8.525319439588202
2029,-8.657065046973003
2060,-8.630908310726227
2072,-8.637759749530233
2101,-8.88132458777909
2115,-9.056034272089164
2121,-9.030315996347781
2128,-8.921260294988315
2185,-8.919790974687203
2208,-8.942993492164533
2265,-9.160533641723305
2266,-9.06006900797729
2312,-9.181271074419783
2349,-9.248720528270496
2364,-9.180675589970633
2380,-9.294148557746666
2413,-9.134499486881396
2482,-9.111812104911223
2505,-9.127843519228918
2518,-9.274650434152136
2521,-9.244057078693004
2548,-9.211857791862712
2557,-9.298458460889378
2558,-9.335681885757367
2576,-9.53254335589736
2601,-9.802937458945962
2608,-9.826396018397645
2616,-9.811909401971207
2653,-9.921161539390596
2678,-10.091746540507302
2802,-10.183445455953915
2825,-10.314982886378857
2849,-10.40469942630807
2883,-10.472382389747509
2892,-10.504968288470991
2928,-10.642968516065594
3110,-10.755479083145474
3209,-10.792090265658771
3235,-10.800057176638802
3268,-10.917476367474592
3282,-11.08195425922895
3286,-11.08195425922895
3311,-11.052887695153913
3330,-11.103378003022954
3358,-11.133448323977063
3371,-11.244714376942284
3467,-11.220393986001
3470,-11.087402506142098
3480,-11.12599791012326
3502,-11.169867031207104
3506,-11.439376552498288
3509,-11.492929843720049
3565,-11.467000208533136
3569,-11.692908448476373
3611,-11.92310094610366
3636,-12.054732601191063
3645,-11.918382371233747
3663,-11.922334476268588
3725,-11.850705225137062
3795,-11.84678591087868
3850,-11.783730947397999
3855,-11.687036454397457
3856,-11.680853714762634
3878,-11.686331486300332
3880,-11.637437957830116
4121,-11.683695712450572
4141,-11.705050964261318
4177,-11.701811886625364
4225,-11.876219089168444
4236,-11.919136483433249
4255,-12.00240294289324
4307,-12.009105312925385
4310,-11.977845117275137
4341,-12.145098794044316
4359,-12.173453345600137
4366,-12.230506812502426
4391,-12.605822433637513
4394,-12.844079889757268
4422,-12.975221825701738
4426,-12.932194020235329
4427,-12.932194020235329
4435,-12.719315546637517
4477,-12.666755430644116
4486,-12.67634194835773
4503,-12.7185448218479
4515,-12.882526871158916
4520,-12.882526871158916
4521,-12.942451770355547
4570,-12.966176831883786
4572,-13.04457506259132
4587,-13.065061141769547
4635,-13.143982146033522
4656,-13.232322446645412
4691,-13.644118298900139
4698,-13.712129283438117
4739,-13.800293227479415
4745,-13.800293227479415
4869,-13.816109015278926
4886,-13.701228734895267
4906,-13.674201424917555
4920,-13.606718012480997
4953,-13.564652143075364
4999,-13.56798081434681
5017,-13.417681384660682
5024,-13.417681384660682
5043,-13.57513893039868
5047,-13.50474239675168
5054,-13.643562901896075
5092,-13.634458516960876
5094,-13.69167393823227
5125,-13.672205802660756
5182,-13.676591589755844
5259,-13.592153975674591
5276,-13.733316329835361
5320,-13.496501219709899
5396,-13.675666866060055
5416,-13.695914413052378
5437,-13.67718195625639
5479,-13.659385560786177
5685,-13.701751482734835
5808,-13.631396581109584
5819,-13.734250294372032
5873,-13.825982415426552
5905,-13.925433571595931
5995,-13.960104759960814
6002,-14.2365326266372
6038,-14.165271963476698
