iter,delta_E_meV_per_atom
0,0.0
0,-0.016458832447824534
4,-0.43045927968705655
11,-0.3607359506568173
12,-0.4192546154699812
14,-0.6507122437833459
23,-0.5518993522782694
28,-0.649134621835401
29,-0.7729305073189607
31,-0.7934023786801845
33,-0.8240301276600803
40,-1.1512822372715164
46,-1.1656764237159223
49,-1.2270556681796734
51,-1.1546398408536334
52,-1.5360805260534107
56,-1.7162306695936422
65,-1.5483578210150881
66,-1.5887885848824226
68,-2.050319771446084
73,-2.0639669197662442
75,-2.1049993680644548
81,-2.1046678289130796
82,-2.091955513547873
85,-2.102537824808678
90,-1.9778045068815118
105,-2.023943804855662
107,-2.1992402014511754
108,-2.0930601852778636
109,-2.2014935746701667
110,-2.3781381531407533
111,-2.5220325739755936
116,-2.789719379721646
117,-2.5310737151448848
123,-2.167729756958579
124,-2.208229914533149
128,-2.1786918191028235
129,-2.301950145549199
130,-1.9824899349077896
131,-2.2693834717538266
133,-2.4146268915574183
139,-2.469701779031311
146,-2.40816665921011
151,-2.43427915792563
153,-2.5279568636942713
155,-2.539336987221759
158,-2.7219889910920756
159,-3.1601612883314374
160,-3.4211121380903933
165,-3.53701519985043
182,-3.494358147847379
187,-3.6212761467322707
191,-3.488528694553679
197,-3.443883823165379
199,-3.352904565861536
201,-3.4391926751559367
220,-3.4133829035126837
223,-3.5366440142570355
244,-3.5820163442804187
257,-3.607772215767909
261,-3.665760078099993
275,-3.729330044498056
276,-3.6505986605770886
278,-3.3482702660803625
280,-3.401438767039508
282,-3.293237434241746
284,-3.4720379863501876
289,-3.70635370340824
297,-3.846732403650094
308,-3.692013018320722
315,-3.8092330325998773
317,-3.8092330325998773
318,-3.8179350696882466
323,-3.774584366441559
326,-3.904340553730435
341,-3.8131501972020487
345,-3.7696722014879924
349,-3.8499918549714494
353,-3.849935996309796
361,-3.8562325976599823
364,-3.8979386768151016
369,-3.939861162678426
383,-3.8043413981176855
399,-3.9113196789294307
403,-4.032026370809035
405,-4.005658279176714
406,-4.069708754297608
407,-3.7081183149057324
410,-3.5996236934515764
412,-3.5465322178424685
414,-3.569846528705966
426,-3.4322749839739117
442,-3.5109080408583395
449,-3.4804323416465195
450,-3.700170691790845
467,-3.7059657604040694
472,-3.5651272865616193
473,-3.6983085705178382
479,-3.9390966800601745
484,-3.9892148604922113
495,-3.990075262841856
502,-4.031245806578227
503,-4.0820701958400605
508,-4.186926008314913
522,-3.8604144907767477
530,-3.812229062896222
535,-3.757173089426942
538,-3.8618253082859155
539,-3.836784202732815
551,-4.116313480109966
557,-4.145617703718017
560,-4.234487992875074
561,-4.538439180443675
565,-4.532807126746775
566,-4.799525912345416
567,-4.799525912345416
570,-4.9097558032372035
578,-4.890177532033704
583,-4.96995380590306
588,-5.101140216549538
600,-5.236627295762446
601,-5.364756146020227
607,-5.345826886023133
610,-5.3642058283912775
613,-5.442535354319261
622,-5.521764614572021
624,-5.238805734828929
629,-5.196482937539258
630,-5.158978537754592
635,-5.018574154044472
638,-4.9738727114890935
640,-4.902553685718885
644,-4.9510373551238445
647,-5.162774505792186
676,-5.187938598472101
677,-4.970026133294596
694,-4.879185191253782
695,-4.905562193023798
698,-4.749973087287799
703,-4.573787213208561
704,-4.541002236204804
706,-4.50354416715345
709,-4.475161939561076
717,-4.562950446015748
719,-4.593063953918318
725,-4.5793094166474475
733,-4.500591057189013
734,-4.566394104189385
737,-4.5432195866669645
754,-4.210564174914907
755,-4.245197567426658
756,-4.469830646488845
758,-4.48633884525043
760,-4.378734589179658
761,-4.468263017468416
766,-4.553926515185594
772,-4.453136626398191
773,-4.145507602574071
775,-4.249471620169061
782,-4.320811135661643
789,-4.419175168186484
798,-4.585759817131475
832,-4.833237830189319
833,-4.863479130824999
834,-4.9767138695387985
836,-5.1317858145303035
837,-5.144200560331228
849,-5.046216371309129
875,-4.832322266207484
877,-4.764518588195642
881,-4.689895118066488
885,-4.879768233309733
