accepted_step,all_cluster_sum,largest_cluster_size,surface_volume_ratio
2.200000000000000000e+01,3.610000000000000000e+02,2.120000000000000000e+02,3.254716981132075304e+00
2.300000000000000000e+01,3.610000000000000000e+02,2.140000000000000000e+02,3.261682242990654235e+00
2.400000000000000000e+01,3.620000000000000000e+02,2.150000000000000000e+02,3.227906976744185918e+00
2.500000000000000000e+01,3.610000000000000000e+02,2.140000000000000000e+02,3.252336448598130758e+00
2.600000000000000000e+01,3.610000000000000000e+02,2.280000000000000000e+02,3.210526315789473895e+00
2.700000000000000000e+01,3.640000000000000000e+02,2.340000000000000000e+02,3.179487179487179294e+00
2.800000000000000000e+01,3.630000000000000000e+02,2.320000000000000000e+02,3.198275862068965303e+00
2.900000000000000000e+01,3.650000000000000000e+02,2.370000000000000000e+02,3.172995780590717185e+00
3.000000000000000000e+01,3.660000000000000000e+02,2.400000000000000000e+02,3.125000000000000000e+00
3.100000000000000000e+01,3.680000000000000000e+02,2.450000000000000000e+02,3.102040816326530503e+00
3.200000000000000000e+01,3.700000000000000000e+02,2.480000000000000000e+02,3.072580645161290480e+00
3.300000000000000000e+01,3.680000000000000000e+02,2.360000000000000000e+02,3.042372881355932090e+00
3.400000000000000000e+01,3.720000000000000000e+02,2.470000000000000000e+02,3.020242914979756943e+00
3.500000000000000000e+01,3.690000000000000000e+02,2.410000000000000000e+02,3.037344398340248830e+00
3.600000000000000000e+01,3.690000000000000000e+02,2.410000000000000000e+02,3.045643153526970792e+00
3.700000000000000000e+01,3.710000000000000000e+02,2.470000000000000000e+02,3.020242914979756943e+00
3.800000000000000000e+01,3.720000000000000000e+02,2.510000000000000000e+02,3.035856573705179251e+00
3.900000000000000000e+01,3.730000000000000000e+02,2.510000000000000000e+02,3.059760956175298752e+00
4.000000000000000000e+01,3.720000000000000000e+02,2.480000000000000000e+02,3.072580645161290480e+00
4.100000000000000000e+01,3.650000000000000000e+02,2.370000000000000000e+02,3.130801687763713037e+00
4.200000000000000000e+01,3.630000000000000000e+02,1.660000000000000000e+02,3.204819277108433617e+00
4.300000000000000000e+01,3.640000000000000000e+02,1.700000000000000000e+02,3.200000000000000178e+00
4.400000000000000000e+01,3.640000000000000000e+02,1.780000000000000000e+02,3.258426966292134797e+00
4.500000000000000000e+01,3.620000000000000000e+02,1.790000000000000000e+02,3.329608938547485852e+00
4.600000000000000000e+01,3.670000000000000000e+02,2.440000000000000000e+02,3.131147540983606703e+00
4.700000000000000000e+01,3.700000000000000000e+02,2.510000000000000000e+02,3.131474103585657254e+00
4.800000000000000000e+01,3.660000000000000000e+02,1.240000000000000000e+02,3.096774193548387011e+00
4.900000000000000000e+01,3.660000000000000000e+02,1.240000000000000000e+02,3.096774193548387011e+00
5.000000000000000000e+01,3.670000000000000000e+02,1.240000000000000000e+02,3.096774193548387011e+00
5.100000000000000000e+01,3.680000000000000000e+02,1.250000000000000000e+02,3.072000000000000064e+00
5.200000000000000000e+01,3.670000000000000000e+02,1.260000000000000000e+02,3.142857142857142794e+00
5.300000000000000000e+01,3.670000000000000000e+02,1.260000000000000000e+02,3.142857142857142794e+00
5.400000000000000000e+01,3.700000000000000000e+02,2.540000000000000000e+02,3.094488188976377785e+00
5.500000000000000000e+01,3.700000000000000000e+02,2.550000000000000000e+02,3.098039215686274606e+00
5.600000000000000000e+01,3.690000000000000000e+02,2.530000000000000000e+02,3.114624505928853537e+00
5.700000000000000000e+01,3.680000000000000000e+02,2.510000000000000000e+02,3.131474103585657254e+00
5.800000000000000000e+01,3.680000000000000000e+02,2.500000000000000000e+02,3.128000000000000114e+00
5.900000000000000000e+01,3.700000000000000000e+02,2.540000000000000000e+02,3.110236220472440749e+00
6.000000000000000000e+01,3.680000000000000000e+02,1.260000000000000000e+02,3.015873015873015817e+00
6.100000000000000000e+01,3.670000000000000000e+02,1.370000000000000000e+02,3.065693430656934115e+00
6.200000000000000000e+01,3.690000000000000000e+02,2.620000000000000000e+02,3.137404580152671763e+00
6.300000000000000000e+01,3.690000000000000000e+02,2.610000000000000000e+02,3.134099616858237347e+00
6.400000000000000000e+01,3.710000000000000000e+02,2.630000000000000000e+02,3.079847908745247054e+00
6.500000000000000000e+01,3.700000000000000000e+02,2.360000000000000000e+02,3.008474576271186418e+00
6.600000000000000000e+01,3.700000000000000000e+02,2.360000000000000000e+02,3.008474576271186418e+00
6.700000000000000000e+01,3.700000000000000000e+02,2.360000000000000000e+02,3.008474576271186418e+00
6.800000000000000000e+01,3.710000000000000000e+02,2.360000000000000000e+02,3.008474576271186418e+00
6.900000000000000000e+01,3.710000000000000000e+02,2.360000000000000000e+02,3.016949152542372836e+00
7.000000000000000000e+01,3.710000000000000000e+02,2.370000000000000000e+02,3.029535864978902815e+00
7.100000000000000000e+01,3.710000000000000000e+02,2.370000000000000000e+02,3.029535864978902815e+00
7.200000000000000000e+01,3.690000000000000000e+02,2.370000000000000000e+02,3.097046413502109630e+00
7.300000000000000000e+01,3.690000000000000000e+02,2.370000000000000000e+02,3.097046413502109630e+00
7.400000000000000000e+01,3.690000000000000000e+02,2.310000000000000000e+02,3.047619047619047450e+00
7.500000000000000000e+01,3.680000000000000000e+02,2.270000000000000000e+02,3.074889867841409608e+00
7.600000000000000000e+01,3.640000000000000000e+02,2.200000000000000000e+02,3.118181818181818166e+00
7.700000000000000000e+01,3.700000000000000000e+02,2.590000000000000000e+02,3.088803088803088848e+00
7.800000000000000000e+01,3.690000000000000000e+02,2.280000000000000000e+02,3.043859649122806932e+00
7.900000000000000000e+01,3.670000000000000000e+02,2.220000000000000000e+02,3.036036036036036112e+00
8.000000000000000000e+01,3.670000000000000000e+02,2.220000000000000000e+02,3.036036036036036112e+00
8.100000000000000000e+01,3.690000000000000000e+02,2.260000000000000000e+02,3.035398230088495630e+00
8.200000000000000000e+01,3.700000000000000000e+02,2.530000000000000000e+02,3.067193675889328119e+00
8.300000000000000000e+01,3.730000000000000000e+02,2.590000000000000000e+02,3.011583011583011782e+00
8.400000000000000000e+01,3.720000000000000000e+02,2.550000000000000000e+02,3.003921568627450966e+00
8.500000000000000000e+01,3.750000000000000000e+02,2.630000000000000000e+02,2.980988593155893707e+00
8.600000000000000000e+01,3.770000000000000000e+02,2.670000000000000000e+02,2.981273408239700551e+00
8.700000000000000000e+01,3.760000000000000000e+02,2.610000000000000000e+02,3.003831417624521105e+00
8.800000000000000000e+01,3.770000000000000000e+02,2.620000000000000000e+02,2.984732824427481113e+00
8.900000000000000000e+01,3.760000000000000000e+02,2.600000000000000000e+02,3.000000000000000000e+00
9.000000000000000000e+01,3.750000000000000000e+02,2.620000000000000000e+02,2.984732824427481113e+00
9.100000000000000000e+01,3.740000000000000000e+02,2.580000000000000000e+02,2.968992248062015449e+00
9.200000000000000000e+01,3.750000000000000000e+02,2.620000000000000000e+02,2.977099236641221225e+00
9.300000000000000000e+01,3.780000000000000000e+02,2.720000000000000000e+02,2.941176470588235503e+00
9.400000000000000000e+01,3.780000000000000000e+02,2.730000000000000000e+02,2.930402930402930206e+00
9.500000000000000000e+01,3.740000000000000000e+02,2.150000000000000000e+02,2.865116279069767291e+00
9.600000000000000000e+01,3.710000000000000000e+02,2.150000000000000000e+02,2.865116279069767291e+00
9.700000000000000000e+01,3.700000000000000000e+02,2.130000000000000000e+02,2.835680751173708991e+00
9.800000000000000000e+01,3.700000000000000000e+02,2.130000000000000000e+02,2.835680751173708991e+00
9.900000000000000000e+01,3.720000000000000000e+02,2.420000000000000000e+02,2.876033057851239860e+00
1.000000000000000000e+02,3.720000000000000000e+02,2.420000000000000000e+02,2.876033057851239860e+00
1.010000000000000000e+02,3.720000000000000000e+02,2.420000000000000000e+02,2.867768595041322310e+00
1.020000000000000000e+02,3.730000000000000000e+02,2.440000000000000000e+02,2.860655737704917989e+00
1.030000000000000000e+02,3.750000000000000000e+02,2.610000000000000000e+02,2.888888888888888840e+00
1.040000000000000000e+02,3.760000000000000000e+02,2.610000000000000000e+02,2.888888888888888840e+00
1.050000000000000000e+02,3.760000000000000000e+02,2.590000000000000000e+02,2.895752895752895739e+00
1.060000000000000000e+02,3.750000000000000000e+02,2.580000000000000000e+02,2.875968992248061795e+00
1.070000000000000000e+02,3.760000000000000000e+02,2.620000000000000000e+02,2.893129770992366456e+00
1.080000000000000000e+02,3.730000000000000000e+02,2.560000000000000000e+02,2.921875000000000000e+00
1.090000000000000000e+02,3.730000000000000000e+02,2.560000000000000000e+02,2.921875000000000000e+00
1.100000000000000000e+02,3.720000000000000000e+02,2.520000000000000000e+02,2.912698412698412564e+00
1.110000000000000000e+02,3.730000000000000000e+02,2.560000000000000000e+02,2.921875000000000000e+00
1.120000000000000000e+02,3.710000000000000000e+02,2.530000000000000000e+02,2.972332015810276840e+00
1.130000000000000000e+02,3.710000000000000000e+02,2.560000000000000000e+02,2.960937500000000000e+00
